name,link,full_path,dob,taken,gender
Aden Bajaj,https://id.wikipedia.org/wiki/Aden_Bajaj,,Feb 18 1983,,1
Adhi Pawitra,https://id.wikipedia.org/wiki/Adhi_Pawitra,,Dec 15 1984,,1
Adi Bing Slamet,https://id.wikipedia.org/wiki/Adi_Bing_Slamet,,May 6 1966,,1
Adi Firansyah,https://id.wikipedia.org/wiki/Adi_Firansyah,./foto/Kpl-adi-firansyah-004.jpg,Sep 26 1984,,1
Adi Kurdi,https://id.wikipedia.org/wiki/Adi_Kurdi,,Sep 22 1948,,1
Adipati Dolken,https://id.wikipedia.org/wiki/Adipati_Dolken,,,,1
Adipura,https://id.wikipedia.org/wiki/Adipura_(aktor),,Feb 24 1969,,1
Aditya Firmansyah,https://id.wikipedia.org/wiki/Aditya_Firmansyah,,May 29 1988,,1
Aditya Herpavi Rachman,https://id.wikipedia.org/wiki/Aditya_Herpavi_Rachman,,,,1
Aditya Rino,https://id.wikipedia.org/wiki/Aditya_Rino,,Jun 11 1991,,1
Aditya Warman,https://id.wikipedia.org/wiki/Aditya_Warman,,,,1
Adjie Massaid,https://id.wikipedia.org/wiki/Adjie_Massaid,,,,1
Adjie Pangestu,https://id.wikipedia.org/wiki/Adjie_Pangestu,,Nov 5 1969,,1
Adly Fairus,https://id.wikipedia.org/wiki/Adly_Fairuz,,Apr 14 1987,,1
Adrian Maulana,https://id.wikipedia.org/wiki/Adrian_Maulana,,Oct 29 1977,,1
Advent Bangun,https://id.wikipedia.org/wiki/Advent_Bangun,,,,1
Adul,https://id.wikipedia.org/wiki/Adul,,Jul 8 1983,,1
Aedy Moward,https://id.wikipedia.org/wiki/Aedy_Moward,,Nov 29 1929,,1
Afdhal Yusman,https://id.wikipedia.org/wiki/Afdhal_Yusman,,,,1
Afgan Syahreza,https://id.wikipedia.org/wiki/Afgan_Syahreza,,,,1
Afrizal Anoda,https://id.wikipedia.org/wiki/Afrizal_Anoda,,Apr 11 1952,,1
Aga Dirgantara,https://id.wikipedia.org/wiki/Aga_Dirgantara,,Nov 13 1988,,1
Agastya Kandou,https://id.wikipedia.org/wiki/Agastya_Kandou,,,,1
Agung Hercules,https://id.wikipedia.org/wiki/Agung_Hercules,,Feb 9 1968,,1
Agung Saga,https://id.wikipedia.org/wiki/Agung_Saga,,Sep 9 1988,,1
Agung Udijana,https://id.wikipedia.org/wiki/Agung_Udijana,,Jun 12 1976,,1
Agus Kuncoro,https://id.wikipedia.org/wiki/Agus_Kuncoro,,Aug 11 1972,,1
Agyl Syahriar,https://id.wikipedia.org/wiki/Agyl_Syahriar,,Dec 6 1969,,1
Ahmad Albar,https://id.wikipedia.org/wiki/Ahmad_Albar,./foto/Ahmad_Syech_Albar.jpg,Jul 16 1946,,1
Aiman Ricky,https://id.wikipedia.org/wiki/Aiman_Ricky,,Oct 27 1986,,1
Aira Sondang,https://id.wikipedia.org/wiki/Aira_Sondang,,,,1
Aji Santosa,https://id.wikipedia.org/wiki/Aji_Santosa,,Jun 6 2002,,1
Ajil Ditto,https://id.wikipedia.org/wiki/Ajil_Ditto,,,,1
Ajun Perwira,https://id.wikipedia.org/wiki/Ajun_Perwira,,Feb 9 1988,,1
Akhdiyat Duta Modjo,https://id.wikipedia.org/wiki/Akhdiyat_Duta_Modjo,./foto/Duta_Sheila_On_7%2C_2018.jpg,Apr 30 1980,,1
Akri Patrio,https://id.wikipedia.org/wiki/Akri,,May 4 1969,,1
Aksan Sjuman,https://id.wikipedia.org/wiki/Aksan_Sjuman,,Sep 22 1970,,1
Al Ghazali,https://id.wikipedia.org/wiki/Ahmad_Al_Ghazali,,,,1
Alam Surawidjaja,https://id.wikipedia.org/wiki/Alam_Surawidjaja,./foto/Alam_Surawidjaja.jpg,Dec 24 1924,,1
Alan Nuary,https://id.wikipedia.org/wiki/Alan_Nuary,,,,1
Albert Fakdawer,https://id.wikipedia.org/wiki/Albert_Fakdawer,./foto/Albert-Fakdawer-SMF-Rotaract-Semanggi.jpg,Jun 29 1993,,1
Albert Halim,https://id.wikipedia.org/wiki/Albert_Halim,./foto/Albert_Halim_2014-01-17_18-43.jpg,Sep 17 1986,,1
Alblen Filindo Fabe,https://id.wikipedia.org/wiki/Alblen_Filindo_Fabe,,Sep 6 1982,,1
Aldiansyah Taher,https://id.wikipedia.org/wiki/Aldiansyah_Taher,,Oct 25 1983,,1
Aldisar Syafar,https://id.wikipedia.org/wiki/Aldisar_Syafar,,,,1
Aldo Tansani,https://id.wikipedia.org/wiki/Aldo_Tansani,,Feb 22 1998,,1
Aldy Zulfikar,https://id.wikipedia.org/wiki/Aldy_Zulfikar,,Sep 1 1994,,1
Alex Abbad,https://id.wikipedia.org/wiki/Alex_Abbad,,Jun 18 1978,,1
Alex Komang,https://id.wikipedia.org/wiki/Alex_Komang,,Sep 17 1961,,1
Alexander Wiguna Wessels,https://id.wikipedia.org/wiki/Alexander_Wiguna_Wessels,,May 4 1981,,1
Alfie Alfandy,https://id.wikipedia.org/wiki/Alfie_Alfandy,,Mar 3 1990,,1
Ali Mensan,https://id.wikipedia.org/wiki/Ali_Mensan,./foto/Ali_Mensan_in_%27Catatan_Dodol_Calon_Dokter%27.jpg,Apr 18 1987,2016:04:14,1
Ali Syakieb,https://id.wikipedia.org/wiki/Ali_Syakieb,,Jun 6 1987,,1
Ali Yugo,https://id.wikipedia.org/wiki/Ali_Yugo,./foto/Ali_Yugo_in_Djaoeh_di_Mata.jpg,Mar 17 1907,,1
Ali Zainal,https://id.wikipedia.org/wiki/Ali_Zainal,,Nov 12 1978,,1
Aliff Alli,https://id.wikipedia.org/wiki/Aliff_Alli,,Sep 12 1991,,1
Aliando Syarief,https://id.wikipedia.org/wiki/Aliando_Syarief,,Oct 26 1996,,1
Alvaro Maldini Siregar,https://id.wikipedia.org/wiki/Alvaro_Maldini_Siregar,,,,1
Alvin Adam,https://id.wikipedia.org/wiki/Alvin_Adam,,,,1
Alwi Assegaf,https://id.wikipedia.org/wiki/Alwi_Assegaf,,,,1
Alwi Oslan,https://id.wikipedia.org/wiki/Alwi_Oslan,,Aug 17 1939,,1
Amak Baldjun,https://id.wikipedia.org/wiki/Amak_Baldjun,./foto/Amak_baldjun.jpg,Jul 12 1942,,1
Ami Prijono,https://id.wikipedia.org/wiki/Ami_Prijono,./foto/Amiprijono.jpg,Oct 23 1939,,1
Aming,https://id.wikipedia.org/wiki/Aming,,Nov 7 1980,,1
Ammar Zoni,https://id.wikipedia.org/wiki/Ammar_Zoni,,Jun 08 1993,,1
Amoroso Katamsi,https://id.wikipedia.org/wiki/Amoroso_Katamsi,,,,1
Ananda George,https://id.wikipedia.org/wiki/Ananda_George,,Nov 25 1977,,1
Ananda Omesh,https://id.wikipedia.org/wiki/Ananda_Omesh,./foto/Omesh-ananda.jpg,Aug 21 1986,,1
Andhika Gumilang,https://id.wikipedia.org/wiki/Andhika_Gumilang,,Nov 18 1988,,1
Andhika Pratama,https://id.wikipedia.org/wiki/Andhika_Pratama,,Nov 11 1986,,1
Andi Arsyil Rahman,https://id.wikipedia.org/wiki/Andi_Arsyil_Rahman,./foto/Andi_Arsyil.jpg,Sep 15 1987,2012:11:15,1
Andi Bersama,https://id.wikipedia.org/wiki/Andi_Bersama,,,,1
Andovi da Lopez,https://id.wikipedia.org/wiki/Andovi_da_Lopez,,,,1
Andre Taulany,https://id.wikipedia.org/wiki/Andre_Taulany,,Sep 17 1974,,1
Andreano Phillip,https://id.wikipedia.org/wiki/Andreano_Phillip,,Jun 22 1980,,1
Andrew Andika,https://id.wikipedia.org/wiki/Andrew_Andika,,Jul 10 1987,,1
Andrew Ralph Roxburgh,https://id.wikipedia.org/wiki/Andrew_Ralph_Roxburgh,,,,1
Andrew White,https://id.wikipedia.org/wiki/Andrew_White,,Dec 13 1985,,1
Andy Carol,https://id.wikipedia.org/wiki/Andy_Carol,,Mar 10 1958,,1
Andy /rif,https://id.wikipedia.org/wiki/Andy_/rif,,Oct 12 1968,,1
Anggun Priambodo,https://id.wikipedia.org/wiki/Anggun_Priambodo,,,,1
Anjasmara,https://id.wikipedia.org/wiki/Anjasmara,,Nov 13 1975,,1
Anwar,https://id.wikipedia.org/wiki/Anwar,,,,1
Anwar Fuady,https://id.wikipedia.org/wiki/Anwar_Fuady,,Mar 14 1947,,1
Aom Kusman,https://id.wikipedia.org/wiki/Aom_Kusman,,Jun 24 1946,,1
Arbani Yasiz,https://id.wikipedia.org/wiki/Arbani_Yasiz,,Oct 15 1994,,1
Ari Wibowo,https://id.wikipedia.org/wiki/Ari_Wibowo,,Dec 26 1970,,1
Ari Sihasale,https://id.wikipedia.org/wiki/Ari_Sihasale,,Oct 5 1973,,1
Arie Dagienkz,https://id.wikipedia.org/wiki/Arie_Apriludy,,Apr 7 1976,,1
Arie Dwi Andhika,https://id.wikipedia.org/wiki/Arie_Dwi_Andhika,,,,1
Arie Kriting,https://id.wikipedia.org/wiki/Arie_Kriting,./foto/Ariekriting.jpg,Apr 13 1985,,1
Arie Untung,https://id.wikipedia.org/wiki/Arie_Untung,,,,1
Arief Rivan,https://id.wikipedia.org/wiki/Arief_Rivan,,Nov 1 1951,,1
Arif Rahman,https://id.wikipedia.org/wiki/Arif_Rahman,,Oct 4 1986,,1
Arifin Putra,https://id.wikipedia.org/wiki/Arifin_Putra,,May 1 1987,,1
Ario Bayu,https://id.wikipedia.org/wiki/Ario_Bayu,,,,1
Ariyo Wahab,https://id.wikipedia.org/wiki/Ariyo_Wahab,,Jul 1 1974,,1
Arswendi Nasution,https://id.wikipedia.org/wiki/Arswendi_Nasution,,Nov 22 1957,,1
Arthur Tobing,https://id.wikipedia.org/wiki/Arthur_Tobing,,,,1
Asmuni,https://id.wikipedia.org/wiki/Asmuni,./foto/Asmuni1.jpg,Jun 17 1932,,1
Aspar Paturusi,https://id.wikipedia.org/wiki/Aspar_Paturusi,,Apr 10 1943,,1
Asrul Dahlan,https://id.wikipedia.org/wiki/Asrul_Dahlan,,Feb 15 1971,,1
Asrul Zulmi,https://id.wikipedia.org/wiki/Asrul_Zulmi,,,,1
Astaman,https://id.wikipedia.org/wiki/Astaman,,,,1
Aswin Fabanyo,https://id.wikipedia.org/wiki/Aswin_Fabanyo,,Aug 24 1969,,1
Atalarik Syah,https://id.wikipedia.org/wiki/Atalarik_Syah,,Jun 2 1973,,1
Attar Syah,https://id.wikipedia.org/wiki/Attar_Syah,,Apr 25 1979,,1
Ateng,https://id.wikipedia.org/wiki/Ateng,./foto/Ateng.jpg,Aug 8 1942,,1
Atmonadi,https://id.wikipedia.org/wiki/Atmonadi,./foto/Atmonadi.jpg,Apr 5 1918,,1
Augie Fantinus,https://id.wikipedia.org/wiki/Augie_Fantinus,,Aug 6 1979,,1
August Melasz,https://id.wikipedia.org/wiki/August_Melasz,,Nov 30 1951,,1
Avent Christie,https://id.wikipedia.org/wiki/Avent_Christie,,Nov 22 1956,,1
Awaludin,https://id.wikipedia.org/wiki/Awaludin,./foto/Awaludinaktor.jpg,Nov 11 1916,,1
Awang Darmawan,https://id.wikipedia.org/wiki/Awang_Darmawan,,Feb 28 1951,,1
Axel Andaviar,https://id.wikipedia.org/wiki/Axel_Andaviar,,Oct 29 1992,,1
Axel Matthew Thomas,https://id.wikipedia.org/wiki/Axel_Matthew_Thomas,,Jul 29 1997,,1
Azis Gagap,https://id.wikipedia.org/wiki/Azis_Gagap,,Dec 22 1973,,1
Azka Liansyah,https://id.wikipedia.org/wiki/Azka_Liansyah,,May 29 1994,,1
B.Z. Kadaryono,https://id.wikipedia.org/wiki/B.Z._Kadaryono,,Dec 0 1942,,1
Babe Cabiita,https://id.wikipedia.org/wiki/Babe_Cabita,./foto/114623-babe-cabita.jpg,Jun 5 1989,,1
Bachtiar Siagian,https://id.wikipedia.org/wiki/Bachtiar_Siagian,,,,1
Bagas Rahman Dwi Saputra,https://id.wikipedia.org/wiki/Bagas_Rahman_Dwi_Saputra,,May 6 2000,,1
Bagas Dwi Rizqi Hidayat,https://id.wikipedia.org/wiki/Bagas_Dwi_Rizqi_Hidayat,,Jun 11 1999,,1
Bagus Santoso,https://id.wikipedia.org/wiki/Bagus_Santoso,,,,1
Baim,https://id.wikipedia.org/wiki/Ibrahim_Imran,,,,1
Baim Wong,https://id.wikipedia.org/wiki/Baim_Wong,./foto/Baim_wong.jpeg,Apr 27 1981,,1
Bambang Gentolet,https://id.wikipedia.org/wiki/Bambang_Gentolet,,Jun 30 1941,,1
Bambang Hermanto,https://id.wikipedia.org/wiki/Bambang_Hermanto,./foto/Bambang_Hermanto%2C_Film_Varia_2.2_%28February_1955%29%2C_p39.jpg,Aug 1 1925,,1
Bara Tampubolon,https://id.wikipedia.org/wiki/Bara_Tampubolon,,Oct 11 1985,,1
Baron Achmadi,https://id.wikipedia.org/wiki/Baron_Achmadi,,Aug 5 1946,,1
Baron Hermanto,https://id.wikipedia.org/wiki/Baron_Hermanto,,,,1
Barry Prima,https://id.wikipedia.org/wiki/Barry_Prima,,,,1
Bastian Bintang Simbolon,https://id.wikipedia.org/wiki/Bastian_Bintang_Simbolon,,,,1
Basuki,https://id.wikipedia.org/wiki/Basuki,,,,1
Basuki Effendy,https://id.wikipedia.org/wiki/Basuki_Effendy,./foto/Basuki_Effendy_Film_Varia_May_1954_p35.jpg,May 9 1930,2013:12:11,1
Bayu Kusuma Negara,https://id.wikipedia.org/wiki/Bayu_Kusuma_Negara,,Mar 18 1984,,1
Bayu Oktara,https://id.wikipedia.org/wiki/Bayu_Oktara,,Oct 1 1978,,1
Bedu,https://id.wikipedia.org/wiki/Bedu,,Jul 8 1979,,1
Bemby Putuanda,https://id.wikipedia.org/wiki/Bemby_Putuanda,,May 6 1974,,1
Ben Joshua,https://id.wikipedia.org/wiki/Ben_Joshua,,Aug 13 1980,,1
Ben Kasyafani,https://id.wikipedia.org/wiki/Ben_Kasyafani,,Jul 4 1983,,1
Bendot,https://id.wikipedia.org/wiki/Bendot,./foto/Bendot.jpg,Aug 20 1925,,1
Benny Ruswandi,https://id.wikipedia.org/wiki/Benny_Ruswandi,,Sep 10 1966,,1
Benyamin Suaeb,https://id.wikipedia.org/wiki/Benyamin_Suaeb,,,,1
Bertrand Antolin,https://id.wikipedia.org/wiki/Bertrand_Antolin,,Jul 14 1980,,1
Big Dicky,https://id.wikipedia.org/wiki/Big_Dicky,,,,1
Billy Argo,https://id.wikipedia.org/wiki/Billy_Argo,,,,1
Billy Boedjanger,https://id.wikipedia.org/wiki/Billy_Boedjanger,,Mar 27 1971,,1
Billy Davidson,https://id.wikipedia.org/wiki/Billy_Davidson,,Nov 15 1991,,1
Bing Slamet,https://id.wikipedia.org/wiki/Bing_Slamet,./foto/Bing_Slamet%2C_Film_Varia_1.6_%28May_1954%29%2C_p14.jpg,Sep 27 1927,,1
Bintang Panglima,https://id.wikipedia.org/wiki/Bintang_Panglima,./foto/Bintang_Panglima.jpg,Jul 10 2001,2010:12:20,1
Bintang Timur,https://id.wikipedia.org/wiki/Bintang_Timur,,,,1
Bio One,https://id.wikipedia.org/wiki/Bio_One,,,,1
Bisma Karisma,https://id.wikipedia.org/wiki/Bisma_Karisma,,Nov 27 1990,,1
Bissu,https://id.wikipedia.org/wiki/Bissu_(aktor),./foto/Bissu_Usman.jpg,Jun 4 1901,,1
Bobby Joseph,https://id.wikipedia.org/wiki/Bobby_Joseph,,Nov 29 1991,,1
Bobby Maulana,https://id.wikipedia.org/wiki/Bobby_Maulana,,Jun 12 1988,,1
Bobby Samuel,https://id.wikipedia.org/wiki/Bobby_Samuel,,Jun 25 1989,,1
Bokir,https://id.wikipedia.org/wiki/Bokir,,Dec 25 1925,,1
Bolot,https://id.wikipedia.org/wiki/Bolot,,Mar 5 1942,,1
Boris Bokir,https://id.wikipedia.org/wiki/Boris_Thompson_Manullang,./foto/Borismanullang.jpg,May 25 1988,,1
Boy Hamzah,https://id.wikipedia.org/wiki/Boy_Hamzah,./foto/Boy_Hamzah.jpg,Feb 22 1989,,1
Boy Idrus,https://id.wikipedia.org/wiki/Boy_Idrus,,,,1
Boy Iskak,https://id.wikipedia.org/wiki/Boy_Iskak,,Nov 26 1939,,1
Boy Tirayoh,https://id.wikipedia.org/wiki/Boy_Tirayoh,,Jul 25 1954,,1
Boy William,https://id.wikipedia.org/wiki/Boy_William,,Oct 17 1991,,1
Bram Adrianto,https://id.wikipedia.org/wiki/Bram_Adrianto,,Feb 11 1942,,1
Brandon Salim,https://id.wikipedia.org/wiki/Brandon_Nicholas_Salim,,Sep 19 1996,,1
Bryan Domani,https://id.wikipedia.org/wiki/Bryan_Domani,,,,1
Bryant Santoso,https://id.wikipedia.org/wiki/Bryant_Santoso,,May 27 2000,,1
Bucek Depp,https://id.wikipedia.org/wiki/Bucek_Depp,,Sep 9 1973,,1
Budi Dalton,https://id.wikipedia.org/wiki/Budi_Dalton,,Oct 16 1972,,1
Bung Salim,https://id.wikipedia.org/wiki/Bung_Salim,,Jul 3 1935,,1
Butet Kertaradjasa,https://id.wikipedia.org/wiki/Butet_Kertaradjasa,,Nov 21 1961,,1
Cahyono,https://id.wikipedia.org/wiki/Cahyono,,Dec 26 1951,,1
Cak Lontong,https://id.wikipedia.org/wiki/Cak_Lontong,,Oct 7 1970,,1
Calvin Jeremy,https://id.wikipedia.org/wiki/Calvin_Jeremy,,May 6 1991,,1
Candil,https://id.wikipedia.org/wiki/Candil,,,,1
Cecep Arif Rahman,https://id.wikipedia.org/wiki/Cecep_Arif_Rahman,,Aug 18 1972,,1
Cecep Reza,https://id.wikipedia.org/wiki/Cecep_Reza,,Dec 17 1987,,1
Cemal Faruk Urhan,https://id.wikipedia.org/wiki/Cemal_Faruk_Urhan,,Dec 12 1997,,1
Chairil JM,https://id.wikipedia.org/wiki/Chairil_JM,,Mar 11 1963,,1
Chand Kelvin,https://id.wikipedia.org/wiki/Chand_Kelvin,,Mar 17 1985,,1
Charlie Sahetapy,https://id.wikipedia.org/wiki/Charlie_Sahetapy,,,,1
Cheppy Chandra,https://id.wikipedia.org/wiki/Cheppy_Chandra,,,,1
Chicco Jerikho,https://id.wikipedia.org/wiki/Chicco_Jerikho,,Jul 3 1984,,1
Choky Sitohang,https://id.wikipedia.org/wiki/Choky_Sitohang,,Jul 10 1982,,1
Chris Salam,https://id.wikipedia.org/wiki/Chris_Salam,,,,1
Christ Laurent,https://id.wikipedia.org/wiki/Christ_Laurent,,Apr 15 1993,,1
Christian Loho,https://id.wikipedia.org/wiki/Christian_Loho,,Oct 2 1986,,1
Christian Sugiono,https://id.wikipedia.org/wiki/Christian_Sugiono,,,,1
Christoffer Nelwan,https://id.wikipedia.org/wiki/Christoffer_Nelwan,,,,1
Ciccio Manassero,https://id.wikipedia.org/wiki/Ciccio_Manassero,,Oct 26 1995,,1
Clift Sangra,https://id.wikipedia.org/wiki/Clift_Sangra,,,,1
Cok Simbara,https://id.wikipedia.org/wiki/Cok_Simbara,,Nov 12 1953,,1
Cornelio Sunny,https://id.wikipedia.org/wiki/Cornelio_Sunny,./foto/Corneliosunny.jpg,Apr 15 1985,,1
Daan Aria,https://id.wikipedia.org/wiki/Daan_Aria,,,,1
Dadi Djaya,https://id.wikipedia.org/wiki/Dadi_Djaya,,Sep 5 1937,,1
Daeng Harris,https://id.wikipedia.org/wiki/Daeng_Harris,,,,1
Dallas Pratama,https://id.wikipedia.org/wiki/Dallas_Pratama,,Aug 23 1984,,1
Daniel Mananta,https://id.wikipedia.org/wiki/Daniel_Mananta,,Aug 14 1981,,1
Daniel Topan,https://id.wikipedia.org/wiki/Daniel_Topan,,,,1
Danu Umbara,https://id.wikipedia.org/wiki/Danu_Umbara,,Apr 23 1943,,1
Darius Sinathrya,https://id.wikipedia.org/wiki/Darius_Sinathrya,,May 21 1985,,1
Darto Helm,https://id.wikipedia.org/wiki/Darto_Helm,./foto/Darto_Helm.jpg,Mar 17 1943,,1
Darussalam,https://id.wikipedia.org/wiki/Darussalam,./foto/Darussalam%2C_Film_Varia_1.8_%28July_1954%29%2C_p35.jpg,Sep 12 1920,2013:12:11,1
Dasri Yacob,https://id.wikipedia.org/wiki/Dasri_Yacob,,Oct 5 1942,,1
Daus Mini,https://id.wikipedia.org/wiki/Daus_Mini,,Apr 3 1987,,1
Daus Separo,https://id.wikipedia.org/wiki/Daus_Separo,,Feb 11 1972,,1
David Chalik,https://id.wikipedia.org/wiki/David_Chalik,,Apr 13 1977,,1
David Saragih,https://id.wikipedia.org/wiki/David_Saragih,,Jul 8 1979,,1
Dede Yusuf,https://id.wikipedia.org/wiki/Dede_Yusuf,,,,1
Deddy Corbuzier,https://id.wikipedia.org/wiki/Deddy_Corbuzier,,,,1
Deddy Mahendra Desta,https://id.wikipedia.org/wiki/Deddy_Mahendra_Desta,,Mar 15 1977,,1
Deddy Mizwar,https://id.wikipedia.org/wiki/Deddy_Mizwar,,,,1
Deddy Sutomo,https://id.wikipedia.org/wiki/Deddy_Sutomo,,Jun 26 1939,,1
Delon,https://id.wikipedia.org/wiki/Delon,,May 20 1978,,1
Dendy Subangil,https://id.wikipedia.org/wiki/Dendy_Subangil,,May 10 1978,,1
Dennis Adhiswara,https://id.wikipedia.org/wiki/Dennis_Adhiswara,,Sep 14 1982,,1
Denny Cagur,https://id.wikipedia.org/wiki/Denny_Cagur,,Aug 29 1977,,1
Denny Chandra,https://id.wikipedia.org/wiki/Denny_Chandra,,Dec 21 1962,,1
Denny Malik,https://id.wikipedia.org/wiki/Denny_Malik,,Feb 18 1963,,1
Denny Martin,https://id.wikipedia.org/wiki/Denny_Martin,,,,1
Denny Sumargo,https://id.wikipedia.org/wiki/Denny_Sumargo,,Oct 11 1981,,1
Denny Weller,https://id.wikipedia.org/wiki/Denny_Weller,,Oct 24 1989,,1
Derby Romero,https://id.wikipedia.org/wiki/Derby_Romero,,Jun 8 1990,,1
Derry Drajat,https://id.wikipedia.org/wiki/Derry_Drajat,,Aug 8 1969,,1
Derry Sudarisman,https://id.wikipedia.org/wiki/Derry_Sudarisman,,May 22 1966,,1
Detri Warmanto,https://id.wikipedia.org/wiki/Detri_Warmanto,,Oct 31 1986,,1
Deva Mahenra,https://id.wikipedia.org/wiki/Deva_Mahenra,,Apr 19 1990,,1
Dian Hasry,https://id.wikipedia.org/wiki/Dian_Hasry,,May 7 1959,,1
Dian Sidik,https://id.wikipedia.org/wiki/Dian_Sidik,,Oct 11 1979,,1
Dicky Chandra,https://id.wikipedia.org/wiki/Dicky_Chandra,,,,1
Dicky Muhammad Prasetya,https://id.wikipedia.org/wiki/Dicky_Muhammad_Prasetya,,Jun 18 1993,,1
Dicky Suprapto,https://id.wikipedia.org/wiki/Dicky_Suprapto,,Sep 27 1941,,1
Dicky Wahyudi,https://id.wikipedia.org/wiki/Dicky_Wahyudi,,Sep 23 1969,,1
Dicky Zulkarnaen,https://id.wikipedia.org/wiki/Dicky_Zulkarnaen,,,,1
Didi Petet,https://id.wikipedia.org/wiki/Didi_Petet,./foto/Signature_of_Didi_Petet.png,Jul 12 1956,,1
Didi Riyadi,https://id.wikipedia.org/wiki/Didi_Riyadi,,Jul 31 1981,,1
Didu,https://id.wikipedia.org/wiki/Didu,,,,1
Dikta Wicaksono,https://id.wikipedia.org/wiki/Pradikta_Wicaksono,,,,1
Dimas Aditya,https://id.wikipedia.org/wiki/Dimas_Aditya,,Sep 7 1984,,1
Dimas Anggara,https://id.wikipedia.org/wiki/Dimas_Anggara,,Sep 10 1988,,1
Dimas Argoebie,https://id.wikipedia.org/wiki/Dimas_Argoebie,,Jul 31 1989,,1
Dimas Beck,https://id.wikipedia.org/wiki/Dimas_Beck,,May 8 1988,,1
Dimas Seto,https://id.wikipedia.org/wiki/Dimas_Seto,,Jul 23 1979,,1
Dimaz Andrean,https://id.wikipedia.org/wiki/Dimaz_Andrean,,Apr 10 1987,,1
Dion Wiyoko,https://id.wikipedia.org/wiki/Dion_Wiyoko,,May 3 1984,,1
Diran,https://id.wikipedia.org/wiki/Diran,./foto/Diran.jpg,Jul 2 1936,,1
Ditmar Hadi,https://id.wikipedia.org/wiki/Ditmar_Hadi,,Aug 24 1985,,1
Djadoeg Djajakusuma,https://id.wikipedia.org/wiki/Djadoeg_Djajakusuma,,,,1
Djaduk Ferianto,https://id.wikipedia.org/wiki/Djaduk_Ferianto,,Jul 19 1964,,1
Djalal,https://id.wikipedia.org/wiki/Djalal,,Feb 12 1946,,1
Djauhari Effendi,https://id.wikipedia.org/wiki/Djauhari_Effendi,,Jul 21 1917,,1
Djoemala,https://id.wikipedia.org/wiki/Djoemala,,,,1
Dodit Mulyanto,https://id.wikipedia.org/wiki/Dodit_Mulyanto,./foto/Dodit_Mulyanto.JPG,Jun 30 1985,,1
Doddy Sukma,https://id.wikipedia.org/wiki/Doddy_Sukma,,Jul 15 1941,,1
Dolly Martin,https://id.wikipedia.org/wiki/Dolly_Martin,,Mar 8 1961,,1
Donny Alamsyah,https://id.wikipedia.org/wiki/Donny_Alamsyah,,Dec 7 1978,,1
Donny Damara,https://id.wikipedia.org/wiki/Donny_Damara,,Oct 12 1966,,1
Donny Kesuma,https://id.wikipedia.org/wiki/Donny_Kesuma,./foto/Donny_Kesuma.jpg,Jun 6 1968,2011:02:17,1
Donny Michael,https://id.wikipedia.org/wiki/Donny_Michael,,Oct 3 1991,,1
Dorman Borisman,https://id.wikipedia.org/wiki/Dorman_Borisman,,Feb 5 1951,,1
Doyok,https://id.wikipedia.org/wiki/Doyok,,Aug 17 1954,,1
dr. Boyke,https://id.wikipedia.org/wiki/Boyke_Dian_Nugraha,./foto/Dr_boyke_dian_nugraha_boykepedia_dot_com.jpg,Dec 14 1956,,1
Dude Herlino,https://id.wikipedia.org/wiki/Dude_Herlino,,Dec 2 1980,,1
Dwi A. P.,https://id.wikipedia.org/wiki/Dwi_A._P.,,Apr 8 1983,,1
Dwi Andhika,https://id.wikipedia.org/wiki/Dwi_Andhika,,Apr 3 1986,,1
Dwi Sasono,https://id.wikipedia.org/wiki/Dwi_Sasono,,Mar 30 1980,,1
Dwi Yan,https://id.wikipedia.org/wiki/Dwi_Yan,,,,1
Edi Brokoli,https://id.wikipedia.org/wiki/Edi_Brokoli,,Sep 1 1977,,1
Eddie Karsito,https://id.wikipedia.org/wiki/Eddie_Karsito,,Nov 24 1961,,1
Eddy Bakar Pare,https://id.wikipedia.org/wiki/Eddy_Bakar_Pare,,Oct 10 1949,,1
Eddy Gombloh,https://id.wikipedia.org/wiki/Eddy_Gombloh,./foto/Eddy_gombloh.jpg,Aug 17 1941,,1
Eddy Riwanto,https://id.wikipedia.org/wiki/Eddy_Riwanto,,Dec 29 1955,,1
Eddy Sud,https://id.wikipedia.org/wiki/Eddy_Sud,./foto/Eddysud.jpg,Aug 20 1937,,1
Edo Borne,https://id.wikipedia.org/wiki/Edo_Borne,,Mar 7 1980,,1
Edo Kondologit,https://id.wikipedia.org/wiki/Edo_Kondologit,,Aug 5 1967,,1
Edric Tjandra,https://id.wikipedia.org/wiki/Edric_Tjandra,,Feb 28 1985,,1
Edward Akbar,https://id.wikipedia.org/wiki/Edward_Akbar,,Aug 26 1985,,1
Edward Gunawan,https://id.wikipedia.org/wiki/Edward_Gunawan,,Jul 28 1982,,1
Edwin Super Bejo,https://id.wikipedia.org/wiki/Teuku_Edwin,,Jul 14 1969,,1
Edy Oglek,https://id.wikipedia.org/wiki/Edy_Oglek,,Jul 14 1966,,1
Eeng Saptahadi,https://id.wikipedia.org/wiki/Eeng_Saptahadi,,Feb 15 1958,,1
Egi Fedly,https://id.wikipedia.org/wiki/Egi_Fedly,,Sep 11 1956,,1
Egi John Foreisythe,https://id.wikipedia.org/wiki/Egi_John_Foreisythe,,Jul 14 1988,,1
